all_l_oks_rtree_10_dy_DAT1,all_l_oks_rtree_10_mt_DAT1,all_l_oks_rtree_5_dy_DAT1,all_l_oks_rtree_5_mt_DAT1,cpy_int_med_imp_dy_DAT1,cpy_int_med_imp_LC,cpy_int_med_imp_MFR_S205,cpy_int_med_imp_MFR_S206,cpy_int_med_imp_MFR_S411,cpy_int_med_imp_mt_DAT1,cpy_int_med_imp_qt_DAT1,cpy_int_med_imp_wk_DAT1,DATETIME,dy_DAT1,EM_PREDICTION,hs_bc_0_LC,hs_bc_p1_LC,hs_bc_p2_LC,hs_rtree_disct10_LC,hs_rtree_disct5_LC,LC,MFR_S205,MFR_S206,MFR_S411,mt_DAT1,nhoks_nloks_log_qt_DAT1,nhoks_nloks_pow_n0_5_qt_DAT1,nhoks_nloks_pow_p0_5_qt_DAT1,nhoks_nloks_pow_p1_qt_DAT1,nhoks_nloks_pow_p2_qt_DAT1,nhoks_nloks_rtree_10_qt_DAT1,nhoks_nloks_rtree_5_qt_DAT1,P_Gamma2,qt_DAT1,wk_DAT1,yr_DAT1,_WARN_,sample_id,sample_point_id,datetime_char,NNI,Gamma2,_dmIndex_,_PartInd_,Error,,
8,1,3,1,24,87,756.189,0.080982,0.042966,1,1,6,1895475600,24,158.1877295,2.833213344,16,144,3,2,87,756.189,0.080982,0.042966,1,0,1,1,1,1,1,1,158.1877295,1,6,2020,,2001036348,H12-S0411,24JAN20:09:00:00,160,170,1000038,0,6.948394394,,
8,1,3,1,24,87,691.425,0.073854,0.04653,1,1,6,1895518800,24,163.2428763,2.833213344,16,144,3,2,87,691.425,0.073854,0.04653,1,0,1,1,1,1,1,1,163.2428763,1,6,2020,,2001037064,H12-S0411,24JAN20:21:00:00,155,165,1000039,0,1.064923436,,
8,1,3,1,25,87,645.1326,0.071478,0.04653,1,1,7,1895562000,25,163.2428763,2.833213344,16,144,3,2,87,645.1326,0.071478,0.04653,1,0,1,1,1,1,1,1,163.2428763,1,7,2020,,2001037806,H12-S0411,25JAN20:09:00:00,155,165,1000040,1,1.064923436,,
8,1,3,1,25,86,698.9094,0.073854,0.04455,1,1,7,1895605200,25,180.3371465,2.772588722,15,127.5,2,1,86,698.9094,0.073854,0.04455,1,0,1,1,1,1,1,1,180.3371465,1,7,2020,,2001038371,H12-S0411,25JAN20:21:00:00,155,165,1000041,0,9.295240327,,
7,2,2,2,22,76,6.13,6.301,5.164,2,1,7,1898024400,22,1544.082189,1.791759469,5,17.5,2,1,76,6.13,6.301,5.164,2,0,1,1,1,1,1,1,1544.082189,1,7,2020,,2002033960,H12-S0411,22FEB20:21:00:00,26.2,1250,1000042,1,23.52657512,,
8,2,3,2,24,85,13.648,14.69,11.535,2,1,2,1898139600,24,2507.858573,2.708050201,14,112,2,1,85,13.648,14.69,11.535,2,0,1,1,1,1,1,1,2507.858573,1,2,2020,,2002035386,H12-S0411,24FEB20:05:00:00,25.1,2250,1000043,1,11.46038102,,
2,3,1,3,4,88,0.86,0.886,0.773,3,1,4,1898974800,4,180.860727,2.890371758,17,161.5,4,3,88,0.86,0.886,0.773,3,0,1,1,1,1,1,1,180.860727,1,4,2020,,2003006526,H12-S0411,04MAR20:21:00:00,24.7,185,1000044,1,2.237444881,,
4,3,1,3,13,109,39.563,0.882,0.641,3,1,6,1899709200,13,431.4120788,3.663561646,38,760,7,5,109,39.563,0.882,0.641,3,0,1,1,1,1,1,1,431.4120788,1,6,2020,,2003020546,H12-S0411,13MAR20:09:00:00,43,330,1000045,0,30.73093296,,
4,3,1,3,13,109,51.779,1.009,0.724,3,1,6,1899716400,13,451.6629739,3.663561646,38,760,7,5,109,51.779,1.009,0.724,3,0,1,1,1,1,1,1,451.6629739,1,6,2020,,2003020691,H12-S0411,13MAR20:11:00:00,46,410,1000046,0,10.16170094,,
4,3,1,3,13,109,48.8,0.877,0.683,3,1,6,1899752400,13,452.6943169,3.663561646,38,760,7,5,109,48.8,0.877,0.683,3,0,1,1,1,1,1,1,452.6943169,1,6,2020,,2003021387,H12-S0411,13MAR20:21:00:00,48,430,1000047,0,5.277748114,,
5,3,1,3,14,110,48.037,0.921,0.695,3,1,7,1899795600,14,448.1079989,3.688879454,39,799.5,8,5,110,48.037,0.921,0.695,3,0,1,1,1,1,1,1,448.1079989,1,7,2020,,2003022303,H12-S0411,14MAR20:09:00:00,48,440,1000048,1,1.842727025,,
5,3,1,3,14,108,35.333,0.594,0.492,3,1,7,1899824400,14,338.3142945,3.63758616,37,721.5,6,4,108,35.333,0.594,0.492,3,0,1,1,1,1,1,1,338.3142945,1,7,2020,,2003022565,H12-S0411,14MAR20:17:00:00,52,340,1000049,0,0.495795729,,
5,3,1,3,14,108,35.437,0.667,0.45,3,1,7,1899838800,14,325.4670482,3.63758616,37,721.5,6,4,108,35.437,0.667,0.45,3,0,1,1,1,1,1,1,325.4670482,1,7,2020,,2003022566,H12-S0411,14MAR20:21:00:00,51,330,1000050,1,1.373621764,,
5,3,1,3,15,108,43.046,0.662,0.428,3,1,1,1899882000,15,336.7254125,3.63758616,37,721.5,6,4,108,43.046,0.662,0.428,3,0,1,1,1,1,1,1,336.7254125,1,1,2020,,2003023766,H12-S0411,15MAR20:09:00:00,52,340,1000051,1,0.963113976,,
5,3,1,3,15,108,40.62,0.64,0.412,3,1,1,1899925200,15,325.3620125,3.63758616,37,721.5,6,4,108,40.62,0.64,0.412,3,0,1,1,1,1,1,1,325.3620125,1,1,2020,,2003024409,H12-S0411,15MAR20:21:00:00,52,330,1000052,1,1.405450764,,
5,3,1,3,16,108,42.89,0.656,0.417,3,1,2,1899968400,16,335.5591677,3.63758616,37,721.5,6,4,108,42.89,0.656,0.417,3,0,1,1,1,1,1,1,335.5591677,1,2,2020,,2003025476,H12-S0411,16MAR20:09:00:00,52,340,1000053,1,1.306127159,,
5,3,1,3,16,108,38.621,0.711,0.42,3,1,2,1900011600,16,338.2317179,3.63758616,37,721.5,6,4,108,38.621,0.711,0.42,3,0,1,1,1,1,1,1,338.2317179,1,2,2020,,2003026321,H12-S0411,16MAR20:21:00:00,53,350,1000054,1,3.36236632,,
5,3,1,3,17,109,39.062,0.667,0.406,3,1,3,1900054800,17,334.4765396,3.663561646,38,760,7,5,109,39.062,0.667,0.406,3,0,1,1,1,1,1,1,334.4765396,1,3,2020,,2003027286,H12-S0411,17MAR20:09:00:00,52,330,1000055,1,1.356527136,,
5,3,1,3,17,109,38.284,0.638,0.417,3,1,3,1900098000,17,326.4324267,3.663561646,38,760,7,5,109,38.284,0.638,0.417,3,0,1,1,1,1,1,1,326.4324267,1,3,2020,,2003028044,H12-S0411,17MAR20:21:00:00,52,330,1000056,1,1.081082827,,
5,3,1,3,18,107,41.463,0.727,0.431,3,1,4,1900141200,18,349.7302566,3.610917913,36,684,5,4,107,41.463,0.727,0.431,3,0,1,1,1,1,1,1,349.7302566,1,4,2020,,2003029160,H12-S0411,18MAR20:09:00:00,52,340,1000057,0,2.861840182,,
5,3,1,3,18,108,43.985,0.718,0.411,3,1,4,1900184400,18,337.3390587,3.63758616,37,721.5,6,4,108,43.985,0.718,0.411,3,0,1,1,1,1,1,1,337.3390587,1,4,2020,,2003029934,H12-S0411,18MAR20:21:00:00,53,340,1000058,1,0.782629794,,
5,3,1,3,19,109,49.303,0.604,0.449,3,1,5,1900206000,19,322.9970409,3.663561646,38,760,7,5,109,49.303,0.604,0.449,3,0,1,1,1,1,1,1,322.9970409,1,5,2020,,2003030208,H12-S0411,19MAR20:03:00:00,52,320,1000059,1,0.936575275,,
5,3,1,3,19,107,50.035,0.585,0.433,3,1,5,1900227600,19,317.8705055,3.610917913,36,684,5,4,107,50.035,0.585,0.433,3,0,1,1,1,1,1,1,317.8705055,1,5,2020,,2003030889,H12-S0411,19MAR20:09:00:00,52,310,1000060,0,2.538872732,,
5,3,1,3,19,106,46.914,0.636,0.441,3,1,5,1900270800,19,319.1493577,3.583518939,35,647.5,5,4,106,46.914,0.636,0.441,3,0,1,1,1,1,1,1,319.1493577,1,5,2020,,2003031586,H12-S0411,19MAR20:21:00:00,50,310,1000061,1,2.951405697,,
6,3,2,3,20,105,48.059,0.579,0.446,3,1,6,1900314000,20,322.5930102,3.555348062,34,612,5,4,105,48.059,0.579,0.446,3,0,1,1,1,1,1,1,322.5930102,1,6,2020,,2003032603,H12-S0411,20MAR20:09:00:00,52,320,1000062,2,0.8103157,,
6,3,2,3,20,107,46.829,0.606,0.432,3,1,6,1900357200,20,318.4920585,3.610917913,36,684,5,4,107,46.829,0.606,0.432,3,0,1,1,1,1,1,1,318.4920585,1,6,2020,,2003033414,H12-S0411,20MAR20:21:00:00,52,320,1000063,0,0.471231709,,
6,3,2,3,21,107,48.14,0.614,0.435,3,1,7,1900400400,21,316.4713502,3.610917913,36,684,5,4,107,48.14,0.614,0.435,3,0,1,1,1,1,1,1,316.4713502,1,7,2020,,2003034194,H12-S0411,21MAR20:09:00:00,53,320,1000064,0,1.102703056,,
6,3,2,3,21,107,49.043,0.601,0.429,3,1,7,1900443600,21,318.1305906,3.610917913,36,684,5,4,107,49.043,0.601,0.429,3,0,1,1,1,1,1,1,318.1305906,1,7,2020,,2003034778,H12-S0411,21MAR20:21:00:00,53,320,1000065,2,0.58419045,,
7,3,2,3,22,107,43.938,0.606,0.438,3,1,1,1900486800,22,317.7371677,3.610917913,36,684,5,4,107,43.938,0.606,0.438,3,0,1,1,1,1,1,1,317.7371677,1,1,2020,,2003035538,H12-S0411,22MAR20:09:00:00,52,320,1000066,1,0.707135091,,
7,3,2,3,22,107,47.273,0.595,0.442,3,1,1,1900530000,22,322.3945294,3.610917913,36,684,5,4,107,47.273,0.595,0.442,3,0,1,1,1,1,1,1,322.3945294,1,1,2020,,2003036184,H12-S0411,22MAR20:21:00:00,52,320,1000067,0,0.748290434,,
7,3,2,3,23,107,46.561,0.607,0.434,3,1,2,1900573200,23,316.4589989,3.610917913,36,684,5,4,107,46.561,0.607,0.434,3,0,1,1,1,1,1,1,316.4589989,1,2,2020,,2003037288,H12-S0411,23MAR20:09:00:00,52,320,1000068,1,1.106562853,,
7,3,2,3,23,89,435.3048,1.843,1.166,3,1,2,1900594800,23,1098.036162,2.944438979,18,180,5,4,89,435.3048,1.843,1.166,3,0,1,1,1,1,1,1,1098.036162,1,2,2020,,2003037485,H12-S0411,23MAR20:15:00:00,61,970,1000069,1,13.19960433,,
7,3,2,3,23,89,444.1122,2.081,1.022,3,1,2,1900616400,23,1100.86767,2.944438979,18,180,5,4,89,444.1122,2.081,1.022,3,0,1,1,1,1,1,1,1100.86767,1,2,2020,,2003038071,H12-S0411,23MAR20:21:00:00,74,1100,1000070,0,0.078879127,,
8,3,3,3,24,88,421.7724,1.881,0.984,3,1,3,1900659600,24,1054.890073,2.890371758,17,161.5,4,3,88,421.7724,1.881,0.984,3,0,1,1,1,1,1,1,1054.890073,1,3,2020,,2003039008,H12-S0411,24MAR20:09:00:00,73,1050,1000071,0,0.46572119,,
8,3,3,3,24,88,419.3406,1.94,0.932,3,1,3,1900702800,24,1050.818792,2.890371758,17,161.5,4,3,88,419.3406,1.94,0.932,3,0,1,1,1,1,1,1,1050.818792,1,3,2020,,2003039698,H12-S0411,24MAR20:21:00:00,73,1050,1000072,1,0.077980219,,
8,3,3,3,25,106,116.163,0.652,0.396,3,1,4,1900789200,25,456.7601091,3.583518939,35,647.5,5,4,106,116.163,0.652,0.396,3,0,1,1,1,1,1,1,456.7601091,1,4,2020,,2003041497,H12-S0411,25MAR20:21:00:00,73,460,1000073,2,0.704324102,,
9,3,4,3,26,106,111.996,0.674,0.396,3,1,5,1900832400,26,460.6424642,3.583518939,35,647.5,5,4,106,111.996,0.674,0.396,3,0,1,1,1,1,1,1,460.6424642,1,5,2020,,2003042403,H12-S0411,26MAR20:09:00:00,71,450,1000074,0,2.364992038,,
9,3,4,3,26,106,111.918,0.745,0.385,3,1,5,1900875600,26,441.7611162,3.583518939,35,647.5,5,4,106,111.918,0.745,0.385,3,0,1,1,1,1,1,1,441.7611162,1,5,2020,,2003043233,H12-S0411,26MAR20:21:00:00,72,450,1000075,0,1.830863071,,
9,3,4,3,27,106,115.368,0.651,0.391,3,1,6,1900918800,27,444.3533663,3.583518939,35,647.5,5,4,106,115.368,0.651,0.391,3,0,1,1,1,1,1,1,444.3533663,1,6,2020,,2003044205,H12-S0411,27MAR20:09:00:00,72,450,1000076,1,1.254807484,,
9,3,4,3,27,108,130.639,0.787,0.393,3,1,6,1900962000,27,461.966145,3.63758616,37,721.5,6,4,108,130.639,0.787,0.393,3,0,1,1,1,1,1,1,461.966145,1,6,2020,,2003044915,H12-S0411,27MAR20:21:00:00,72,450,1000077,2,2.659143324,,
10,3,5,3,28,106,118.35,0.659,0.391,3,1,7,1901005200,28,446.9292657,3.583518939,35,647.5,5,4,106,118.35,0.659,0.391,3,0,1,1,1,1,1,1,446.9292657,1,7,2020,,2003045768,H12-S0411,28MAR20:09:00:00,71,440,1000078,1,1.574833116,,
10,3,5,3,28,106,116.2,0.649,0.394,3,1,7,1901048400,28,456.7601091,3.583518939,35,647.5,5,4,106,116.2,0.649,0.394,3,0,1,1,1,1,1,1,456.7601091,1,7,2020,,2003046346,H12-S0411,28MAR20:21:00:00,70,450,1000079,2,1.502246473,,
10,3,5,3,29,107,98.222,0.667,0.381,3,1,1,1901091600,29,427.7283726,3.610917913,36,684,5,4,107,98.222,0.667,0.381,3,0,1,1,1,1,1,1,427.7283726,1,1,2020,,2003047097,H12-S0411,29MAR20:09:00:00,72,440,1000080,1,2.789006234,,
